,onset_time,sound_frequency,target_interval,response
355,1315.239609375,1000,1,1
356,1317.23765625,1000,1,1
357,1319.8196875,1200,2,2
358,1322.149765625,1200,2,2
359,1323.688828125,1000,1,1
360,1325.69078125,1000,1,1
361,1327.58921875,1200,1,1
362,1330.3821875,1000,2,2
363,1332.282578125,1000,2,2
364,1334.286484375,1000,2,2
365,1336.1321875,1200,2,2
366,1337.997421875,1000,2,2
367,1339.88609375,1000,2,1
368,1341.81578125,1000,2,2
369,1343.665390625,1000,2,2
370,1345.610703125,1000,2,2
371,1346.95640625,1000,1,1
372,1349.34703125,1200,2,2
373,1350.723984375,1000,1,1
374,1353.548203125,1000,2,2
375,1354.95640625,1000,1,1
376,1356.82359375,1200,1,2
377,1359.177109375,1000,1,1
378,1363.499375,1000,2,2
379,1366.8040625,1200,1,2
380,1368.755234375,1200,1,1
381,1370.686875,1000,1,1
382,1372.7025,1000,1,1
383,1375.09703125,1000,2,2
384,1377.0540625,1000,1,1
385,1380.11265625,1000,2,2
386,1382.470078125,1000,1,1
387,1384.802109375,1000,2,2
388,1386.8509375,1000,2,2
389,1388.29234375,1000,1,1
390,1390.4525,1000,1,1
391,1392.274765625,1200,1,1
392,1394.3353125,1200,1,2
393,1396.220078125,1000,1,1
394,1398.59703125,1000,2,1
395,1400.10484375,1000,1,1
396,1403.04625,1000,2,2
397,1404.946640625,1200,2,2
398,1406.843125,1000,1,1
399,1409.079453125,1000,1,1
400,1471.35484375,1000,2,2
401,1472.981796875,1200,1,1
402,1475.01890625,1000,1,1
403,1477.376328125,1000,2,2
404,1478.852890625,1000,1,1
405,1481.657578125,1000,2,2
406,1483.790390625,1000,2,2
407,1485.134140625,1000,1,1
408,1487.79625,1000,2,2
409,1489.7259375,1000,2,2
410,1491.6478125,1000,2,2
411,1493.595078125,1200,2,2
412,1494.89390625,1000,1,1
413,1497.263046875,1000,2,2
414,1499.2415625,1000,2,2
415,1501.5071875,1000,2,2
416,1503.255234375,1000,1,1
417,1505.65953125,1000,2,2
418,1507.54234375,1200,2,2
419,1509.08140625,1000,1,1
420,1511.98765625,1200,1,2
421,1514.774765625,1000,2,2
422,1516.31578125,1000,1,1
423,1518.399765625,1200,1,1
424,1520.431015625,1200,1,1
425,1522.47984375,1000,1,1
426,1524.98765625,1200,1,2
427,1527.90953125,1200,2,1
428,1530.35875,1000,2,2
429,1532.524765625,1200,2,2
430,1534.06578125,1200,1,2
431,1537.141953125,1000,2,2
432,1539.32359375,1200,2,2
433,1540.8665625,1000,1,2
434,1542.84703125,1000,1,1
435,1544.669296875,1000,1,1
436,1547.473984375,1000,2,2
437,1548.782578125,1000,1,1
438,1550.71421875,1000,1,1
439,1552.765,1000,1,1
440,1555.407578125,1000,2,2
441,1557.2415625,1000,2,2
442,1559.436875,1000,2,1
443,1561.278671875,1000,1,2
444,1563.958359375,1200,2,2
445,1565.497421875,1200,1,2
446,1567.53453125,1000,1,1
447,1569.973984375,1000,2,2
448,1571.58140625,1000,1,1
449,1574.42125,1000,2,1
450,1773.52671875,1000,2,1
451,1775.720078125,1000,2,2
452,1777.016953125,1000,1,1
453,1779.60484375,1000,2,2
454,1781.563828125,1000,2,1
455,1783.973984375,1200,1,2
456,1786.157578125,1000,1,1
457,1788.731796875,1200,2,1
458,1790.874375,1000,1,1
459,1793.348984375,1200,2,2
460,1795.450546875,1000,2,2
461,1797.106796875,1200,1,1
462,1799.454453125,1000,1,1
463,1801.96421875,1000,2,2
464,1804.067734375,1000,2,2
465,1805.42125,1200,1,2
466,1807.946640625,1000,2,2
467,1809.880234375,1000,2,2
468,1811.80796875,1000,1,1
469,1814.181015625,1200,2,2
470,1815.8040625,1200,1,1
471,1817.7884375,1000,1,1
472,1819.72203125,1000,1,1
473,1821.64,1000,1,1
474,1824.280625,1000,2,2
475,1826.280625,1000,2,2
476,1827.934921875,1000,1,1
477,1829.938828125,1000,1,1
478,1832.329453125,1000,2,2
479,1833.688828125,1000,1,1
480,1835.7884375,1000,1,1
481,1838.22984375,1000,2,2
482,1840.11265625,1000,2,1
483,1842.009140625,1000,1,1
484,1844.020859375,1000,1,1
485,1846.0696875,1000,1,1
486,1848.0540625,1000,1,1
487,1849.903671875,1000,1,1
488,1851.8040625,1200,1,2
489,1853.837265625,1000,1,1
490,1856.0540625,1000,1,1
491,1858.204453125,1000,1,1
492,1860.798203125,1000,2,2
493,1862.6790625,1200,2,2
494,1864.696640625,1200,2,2
495,1866.306015625,1200,1,2
496,1868.997421875,1200,2,2
497,1870.97984375,1200,2,1
498,1872.3196875,1000,1,1
499,1874.829453125,1000,2,2
500,1922.848984375,1000,2,2
501,1924.958359375,1000,2,2
502,1926.942734375,1000,2,2
503,1928.39,1000,1,1
504,1930.782578125,1000,2,2
505,1932.9446875,1200,2,2
506,1934.51890625,1000,1,1
507,1937.040390625,1200,2,2
508,1939.061875,1000,2,2
509,1940.552109375,1000,1,1
510,1942.977890625,1000,2,2
511,1944.58921875,1000,1,1
512,1946.934921875,1000,1,1
513,1948.821640625,1000,1,2
514,1950.700546875,1200,1,2
515,1952.700546875,1000,1,1
516,1955.3275,1200,2,1
517,1956.751328125,1200,1,1
518,1959.278671875,1000,2,1
519,1962.30796875,1200,2,1
520,1964.4603125,1000,2,1
521,1966.249375,1000,1,1
522,1968.825546875,1000,2,1
523,1970.92125,1000,2,1
524,1972.8353125,1000,1,1
525,1974.684921875,1000,1,1
526,1977.22203125,1200,2,1
527,1979.126328125,1000,2,2
528,1980.516953125,1000,1,1
529,1982.98375,1000,2,2
530,1984.333359375,1000,1,1
531,1986.602890625,1000,1,1
532,1988.501328125,1000,1,1
533,1991.157578125,1000,2,2
534,1992.968125,1000,2,2
535,1994.82359375,1000,2,2
536,1996.80796875,1200,2,2
537,1998.907578125,1000,2,2
538,2000.5540625,1000,1,1
539,2003.05796875,1000,2,2
540,2004.501328125,1000,1,1
541,2006.3821875,1200,1,1
542,2009.6946875,1000,2,2
543,2013.14,1200,2,2
544,2014.58140625,1200,1,1
545,2016.907578125,1000,2,2
546,2019.0071875,1000,2,2
547,2021.155625,1000,2,2
548,2024.0071875,1200,2,2
549,2026.040390625,1000,2,2
550,2226.52671875,1200,2,1
551,2228.5384375,1200,1,1
552,2231.3821875,1000,2,2
553,2232.95640625,1000,1,1
554,2234.790390625,1000,1,1
555,2237.751328125,1000,2,2
556,2239.07359375,1000,1,1
557,2241.095078125,1000,1,1
558,2243.30796875,1200,1,1
559,2245.96421875,1000,2,2
560,2248.593125,1200,1,2
561,2251.1634375,1000,2,1
562,2252.786484375,1200,1,1
563,2255.306015625,1000,1,1
564,2257.749375,1200,2,2
565,2259.345078125,1200,1,1
566,2261.841171875,1000,1,1
567,2264.22984375,1200,2,1
568,2266.280625,1200,2,2
569,2268.481796875,1000,2,1
570,2270.138046875,1000,1,1
571,2272.813828125,1000,2,2
572,2274.22203125,1000,1,1
573,2276.095078125,1000,1,1
574,2278.481796875,1200,2,1
575,2280.94859375,1000,2,1
576,2282.556015625,1000,1,1
577,2285.265,1000,2,2
578,2286.653671875,1000,1,2
579,2289.54625,1000,2,2
580,2291.059921875,1000,1,1
581,2292.87046875,1000,1,1
582,2294.97203125,1000,1,1
583,2297.763046875,1000,2,2
584,2299.204453125,1200,1,1
585,2301.184921875,1000,1,1
586,2303.204453125,1000,1,1
587,2305.634140625,1000,2,2
588,2307.80015625,1000,2,2
589,2309.23765625,1000,1,1
590,2311.747421875,1200,2,1
591,2313.372421875,1000,1,1
592,2315.2571875,1000,1,1
