,time,target,response,frequency
40,1577.58203125,1,1,1000
41,1579.65185546875,1,2,1200
42,1583.181640625,2,2,1200
43,1584.71142578125,1,2,1000
44,1587.8515625,2,2,1000
45,1589.26123046875,1,2,1000
46,1592.03125,1,2,1000
47,1595.880859375,1,1,1000
48,1598.55126953125,2,2,1000
0,1605.677734375,2,1,1200
1,1610.19775390625,2,2,1000
2,1611.70751953125,1,1,1000
3,1614.197265625,2,2,1000
4,1615.607421875,1,1,1000
5,1618.67724609375,1,1,1000
6,1621.2568359375,2,2,1000
7,1623.24658203125,2,1,1200
8,1626.0966796875,2,2,1000
9,1628.0068359375,2,2,1000
10,1629.99658203125,2,2,1000
11,1632.07666015625,2,2,1000
12,1633.42626953125,1,1,1000
13,1636.42626953125,2,2,1000
14,1637.896484375,1,2,1000
15,1640.35595703125,1,1,1000
16,1645.40576171875,2,2,1000
17,1647.14599609375,1,1,1000
18,1649.82568359375,2,2,1000
19,1651.79541015625,2,2,1000
20,1653.875,2,1,1200
21,1656.35498046875,2,2,1200
22,1659.89501953125,2,2,1000
23,1661.94482421875,2,2,1000
24,1663.64501953125,1,1,1000
25,1666.5048828125,2,2,1000
26,1667.87451171875,1,2,1200
27,1670.07470703125,1,1,1000
28,1672.29443359375,1,1,1200
29,1674.79443359375,1,1,1200
30,1677.494140625,2,2,1000
31,1679.154296875,1,2,1000
32,1684.94384765625,1,1,1200
33,1687.49365234375,2,2,1000
34,1689.59375,2,2,1000
35,1691.07373046875,1,1,1000
36,1693.603515625,2,2,1000
37,1695.5732421875,2,2,1000
38,1697.17333984375,1,1,1200
39,1699.873046875,2,2,1200
40,1701.5029296875,1,1,1000
41,1704.02294921875,2,2,1000
42,1705.69287109375,1,1,1000
43,1707.6923828125,1,1,1200
44,1712.6923828125,2,1,1000
45,1714.47265625,1,2,1000
46,1717.05224609375,2,2,1200
47,1719.64208984375,2,1,1200
48,1725.02197265625,2,2,1000
0,1728.94921875,1,1,1000
1,1731.96875,1,1,1000
2,1734.49853515625,1,1,1200
3,1750.89794921875,2,2,1000
4,1752.9677734375,2,2,1000
5,1754.8876953125,2,2,1200
6,1759.3876953125,2,2,1000
7,1760.84765625,1,1,1000
8,1762.947265625,1,1,1000
9,1764.96728515625,1,1,1200
10,1767.287109375,1,1,1000
11,1769.76708984375,1,1,1000
12,1772.39697265625,2,2,1000
13,1774.43701171875,2,2,1000
14,1776.53662109375,2,2,1200
15,1778.61669921875,1,1,1000
16,1781.6865234375,1,1,1000
17,1784.24658203125,2,2,1000
18,1785.7861328125,1,1,1000
19,1788.29638671875,2,2,1000
20,1790.39599609375,2,2,1000
21,1792.51611328125,2,2,1000
22,1794.24609375,1,1,1000
23,1796.24609375,1,1,1000
24,1798.83544921875,2,2,1200
25,1801.03564453125,2,2,1000
26,1803.015625,2,2,1000
27,1805.03564453125,2,2,1000
28,1806.54541015625,1,2,1000
29,1808.84521484375,1,1,1000
30,1811.36474609375,2,1,1200
31,1816.8349609375,2,2,1000
32,1818.814453125,2,1,1200
33,1821.744140625,1,2,1200
34,1823.984375,1,1,1000
35,1827.84423828125,2,2,1000
36,1829.333984375,1,1,1000
37,1832.01416015625,2,2,1200
38,1833.63427734375,1,1,1000
39,1836.2939453125,2,2,1000
40,1837.93359375,1,2,1200
41,1841.03369140625,2,2,1000
42,1842.7333984375,1,2,1200
43,1844.86328125,1,1,1000
