,subjectID,frequency,is_rare,is_tone,response
934,4,1200,0,0,0
935,4,1200,0,0,0
936,4,1200,0,1,1
937,4,1200,0,0,0
938,4,1200,0,0,0
939,4,1200,0,0,0
940,4,1200,0,0,0
941,4,1200,0,0,0
942,4,1200,0,0,0
943,4,1200,0,0,0
944,4,1200,0,1,1
945,4,1200,0,0,0
946,4,1000,1,1,0
947,4,1200,0,0,1
948,4,1200,0,0,0
949,4,1000,1,1,0
950,4,1000,1,0,0
951,4,1200,0,0,0
952,4,1200,0,0,0
953,4,1200,0,0,1
954,4,1200,0,0,0
955,4,1000,1,0,0
956,4,1000,1,0,0
957,4,1000,1,0,0
958,4,1200,0,0,0
959,4,1000,1,0,1
960,4,1200,0,0,0
961,4,1200,0,0,0
962,4,1200,0,1,0
963,4,1000,1,1,0
964,4,1200,0,1,1
965,4,1200,0,0,0
966,4,1200,0,0,0
967,4,1000,1,0,0
968,4,1000,1,0,0
969,4,1200,0,0,1
970,4,1000,1,0,0
971,4,1200,0,0,1
972,4,1200,0,0,0
973,4,1200,0,0,0
974,4,1000,1,0,0
975,4,1000,1,0,0
976,4,1200,0,0,0
977,4,1000,1,0,0
978,4,1200,0,1,0
979,4,1200,0,0,0
980,4,1200,0,0,0
981,4,1200,0,0,0
982,4,1200,0,0,0
983,4,1200,0,1,0
984,4,1200,0,0,0
985,4,1200,0,1,1
986,4,1200,0,0,1
987,4,1200,0,1,1
988,4,1200,0,0,0
989,4,1000,1,0,0
990,4,1200,0,0,0
991,4,1200,0,0,0
